complaint,priority,parts,repair_person
Mirror is broken in the second floor east side washroom please fix it,1,Yes,Others
Light is not working ,4,Yes,"Yes, An electrician"
 Leaky pipes under sinks on floor 5,3,Yes,"Yes, A plumber"
wall hook for clothes needs to be fixed,2,No,"Yes, A carpenter"
"WiFi drops out frequently, disrupting online work",3,No,"Yes, A wifi Technician"
"AC is not working in common room 2, GarnetB",3,No,"Yes, An electrician"
Wifi occasionally stops working completely in room no:114,3,No,"Yes, A wifi Technician"
Water cooler is not working in 1st floor,3,No,"Yes, An electrician"
 The table in the common room is wobbly and needs stabilization.,2,Yes,"Yes, A carpenter"
The clothes hanger hook in room number 409 is broken and needs to be replaced. ,2,Yes,"Yes, A carpenter"
The ceiling fan in Room 101 is making buzzing noise and not spinning properly.,3,Yes,"Yes, An electrician"
Chair is broken in my room ,2,Yes,Others
The wardrobe door in Room 308 is falling off.,2,Yes,"Yes, A carpenter"
the curtain holder is broken in my room no 118 ,1,Yes,Others
The food quality is worst. There is a lots of hygienic problem. Increase the number of dishes in the menu. Provide nonveg atleast 4 times in a week. ,1,No,No need
Mirror in washroom is broken in ground floor ,1,Yes,Others
Night lamp is not working properly in room no:158,2,Yes,"Yes, An electrician"
Spiders are roaming in my room ,2,No,Others
We are experiencing a complete lack of water in the hostel due to the water tank not filling. This is causing significant disruption for residents. Please investigate and repair the issue ,4,No,"Yes, A plumber"
"Too many mosquitos in hostel, can't sleep",2,No,Others
plumbing issue in my sink. The water is draining very slowly and appears to be getting stuck. This requires repair.,3,No,"Yes, A plumber"
The shower drain in Room 208 is clogged and draining slowly.,3,No,"Yes, A plumber"
Washing machines are required in Amethyst Hostel.,1,Yes,"Yes, An electrician"
Strange noises coming from the water heater.,2,No,"Yes, A plumber"
Both the fans and light are not working in room 131 please arrange any electricitian,5,Yes,"Yes, An electrician"
"Window mesh is torn from the left most corner and insects and lizards come through it,and i fear lizards so pls help us ( Garnet B - room 28 ) ",1,Yes,Others
fan and light not working room no: 32 ,4,Yes,"Yes, An electrician"
Washing machine ,1,No,No need
Fan is making noise,3,No,"Yes, An electrician"
Night lamp is not working.,4,Yes,"Yes, An electrician"
Tubelight is not working ,4,Yes,"Yes, An electrician"
Drinking water quality is degraded.,5,No,Others
Fan is not working in room no 243,4,Yes,"Yes, An electrician"
There are stray cats inside the hostel and sometimes during nights when we step outside our rooms we getting scared and they are attacking us,3,No,Others
The light in Room 402 is out and needs immediate replacement.,4,Yes,"Yes, An electrician"
Fan is working a bit slow,3,No,"Yes, An electrician"
Water system of ground floor of amethyst always shuts down due to some issue ,4,No,"Yes, An electrician"
The hallway lights on the 2nd floor are dim.,3,Yes,"Yes, An electrician"
Fan speed is too slow. AMBER-B 66,3,Yes,"Yes, An electrician"
Unappetizing or unhealthy meals in the mess.,2,No,Others
Termites have infested the wooden furniture in the lounge.,2,Yes,"Yes, A carpenter"
Leaking shower in first floor west side washroom. It is the first shower on right upon entry.,3,Yes,"Yes, A plumber"
Water is overflowing from east side tank,5,No,No need
Mopping of corridor,1,No,Others
Fan is not working in aquamarine A room no. 153,4,No,"Yes, An electrician"
Fan not working. ,4,No,"Yes, An electrician"
Frog in the washroom ,2,No,Others
Want washing machines in our hostel's,1,No,"Yes, An electrician"
Fan working slow,3,Yes,"Yes, An electrician"
Urgent: Cockroach Sighting - Room 385 - Requires Immediate Attention,5,No,Others
Sparks coming from outlets  in room504,5,No,"Yes, An electrician"
should have a central laundry having washing machine facility ,1,No,"Yes, A plumber"
 Insufficient quiet areas for studying,2,No,Others
The smoke detector on the 5th floor is beeping intermittently even without smoke.,2,Yes,"Yes, An electrician"
Need a roof for cycle parking,1,Yes,Others
"The floorboards on the first floor are loose, creating a tripping hazard.",3,No,"Yes, A carpenter"
The emergency exit light on the 4th floor is not working.,2,Yes,"Yes, An electrician"
"Room 105 has no internet access, preventing the student from completing their online assignments.",4,No,"Yes, A wifi Technician"
"Chair in room no:118 is broken, need another one",2,Yes,No need
Small leakage of water from bathroom tap ,3,Yes,"Yes, A plumber"
we need a better lighting infront of hostel and near cycle parking area in our hostel,1,Yes,"Yes, An electrician"
 Unemptied trash cans leading to unpleasant odors. ,2,No,Others
Air pump is not available in Jade hostel ,1,Yes,Others
Water problem ,4,No,"Yes, A plumber"
"The internet connection on the second floor is slow and unreliable, making it difficult for students to study and work.",3,No,"Yes, A wifi Technician"
Door bolt has been broken in room no 345,3,Yes,"Yes, A carpenter"
"in Room 402. The lights are flickering intermittently, which is disruptive and potentially indicative of a more significant electrical problem",4,Yes,"Yes, An electrician"
"Not a single Toilet spray is working, Second floor, West wing, Amethyst hostel ",2,Yes,"Yes, A plumber"
Fan is making too much noise in room no: 249,3,No,"Yes, An electrician"
Doors not closing properly in room 405,2,No,"Yes, A carpenter"
There are no washing machines in the hostels (Zircon C). It becomes very difficult to manage without washing machines.,1,No,"Yes, An electrician"
No drinking water in the ground floor,5,No,Others
window net is broken,2,Yes,"Yes, A carpenter"
"Water filter in first floor of opal A is not working,no sufficient chairs and tables in study room in opal A,need a roof for cycle parking in opal",2,Yes,"Yes, A plumber"
